Company,CEO,Highest Degree,CEO gender,Number of founders
Juniper Networks,Rami Rahim,M.S.,Male,1
Hewlett Packard Enterprise,Antonio Neri,None,Male,0
Huawei,Ren Zhengfei,None,Male,1
Arista Networks,Jayshree Ullal,M.S.,Female,3
VMWare,Pat Gelsinger,M.S.,Male,5
D-Link,Tushar Sighat,B.S.,Male,1
Extreme Networks,Ed Meyercord,None,Male,3
Big Switch Networks,Douglas Murray,MBA,Male,2
Cumulus Networks,Josh Leslie,MBA,Male,2
Dell EMC,Michael Dell,None,Male,1
Lenovo,Yang Yuanqing,M.S.,Male,1
Mellanox Technologies,Eyal Waldman,M.S.,Male,9
NETGEAR,Patrick Lo,B.S.,Male,1
Allied Telesis,Takayoshi Oshima,B.S.,Male,0
H3C,Antonio Neri,None,Male,0
NEC,Taksahi Niino,None,Male,2
Pluribus Networks,Kumar Srikantan,None,Male,3
ZTE,Li Zixue,B.S.,Male,1
